Date,Value
1991-07-01,3.52659
1991-08-01,3.18089
1991-09-01,3.25222
1991-10-01,3.611
1991-11-01,3.56587
1991-12-01,4.30637
1992-01-01,5.08834
1992-01-01,2.81452
1992-03-01,2.98581
1992-04-01,3.20478
1992-05-01,3.12758
1992-06-01,3.27052
1992-07-01,3.73785
1992-07-01,3.55878
1992-08-01,3.7772
1992-09-01,3.92449
1992-10-01,4.38653
1992-11-01,5.81055
1993-01-01,6.19207
1993-01-01,3.45086
1993-03-01,3.77231
1993-04-01,3.7343
1993-05-01,3.9054
1993-06-01,4.04969
1993-07-01,4.31557
1993-08-01,4.56218
1993-09-01,4.60866
1993-10-01,4.66785
1993-11-01,5.09384
1993-12-01,7.17996
1994-01-01,6.73147
1994-01-01,3.84128
1994-03-01,4.39408
1994-04-01,4.07534
1994-05-01,4.54064
1994-06-01,4.64562
1994-07-01,4.75261
1994-08-01,5.3506
1994-09-01,5.20445
1994-10-01,5.30165
1994-11-01,5.77374
1994-12-01,6.20459
1995-01-01,6.74948
1995-01-01,4.21607
1995-03-01,4.94935
1995-04-01,4.82304
1995-05-01,5.19475
1995-06-01,5.17079
1995-07-01,5.25674
1995-08-01,5.85528
1995-09-01,5.49073
1995-10-01,6.11529
1995-11-01,6.08847
1995-12-01,7.4166
1996-01-01,8.32945
1996-01-01,5.0698
1996-03-01,5.26256
1996-04-01,5.59713
1996-05-01,6.1103
1996-06-01,5.68916
1996-07-01,6.48685
1996-07-01,6.30057
1996-08-01,6.46748
1996-09-01,6.82863
1996-10-01,6.64908
1996-11-01,8.60694
1997-01-01,8.52447
1997-01-01,5.27792
1997-03-01,5.7143
1997-04-01,6.21453
1997-05-01,6.41193
1997-06-01,6.66772
1997-07-01,7.05083
1997-08-01,6.70492
1997-09-01,7.25099
1997-10-01,7.81973
1997-11-01,7.3981
1997-12-01,10.09623
1998-01-01,8.79851
1998-01-01,5.91826
1998-03-01,6.53449
1998-04-01,6.67574
1998-05-01,7.0642
1998-06-01,7.38338
1998-07-01,7.8135
1998-08-01,7.43189
1998-09-01,8.27512
1998-10-01,8.26044
1998-11-01,8.59616
1998-12-01,10.55894
1999-01-01,10.39142
1999-01-01,6.42153
1999-03-01,8.06262
1999-04-01,7.29774
1999-05-01,7.93692
1999-06-01,8.16532
1999-07-01,8.71742
1999-08-01,9.07096
1999-09-01,9.17711
1999-10-01,9.25189
1999-11-01,9.93314
1999-12-01,11.53297
2000-01-01,12.51146
2000-01-01,7.4572
2000-03-01,8.59119
2000-04-01,8.474
2000-05-01,9.3868
2000-06-01,9.5604
2000-07-01,10.83429
2000-07-01,10.64375
2000-08-01,9.90816
2000-09-01,11.71004
2000-10-01,11.34015
2000-11-01,12.07913
2001-01-01,14.49758
2001-01-01,8.04927
2001-03-01,10.31289
2001-04-01,9.75336
2001-05-01,10.85038
2001-06-01,9.96172
2001-07-01,11.4436
2001-08-01,11.65924
2001-09-01,10.64706
2001-10-01,12.65213
2001-11-01,13.67447
2001-12-01,12.96574
2002-01-01,16.30027
2002-01-01,9.05349
2002-03-01,10.00245
2002-04-01,10.78875
2002-05-01,12.10671
2002-06-01,10.9541
2002-07-01,12.84457
2002-08-01,12.1965
2002-09-01,12.85475
2002-10-01,13.542
2002-11-01,13.28764
2002-12-01,15.13492
2003-01-01,16.82835
2003-01-01,9.80021
2003-03-01,10.81699
2003-04-01,10.65422
2003-05-01,12.51232
2003-06-01,12.16121
2003-07-01,12.99805
2003-08-01,12.51728
2003-09-01,13.26866
2003-10-01,14.73362
2003-11-01,13.66938
2003-12-01,16.50397
2004-01-01,18.00377
2004-01-01,11.93803
2004-03-01,12.9979
2004-04-01,12.88265
2004-05-01,13.94345
2004-06-01,13.98947
2004-07-01,15.3391
2004-07-01,15.37076
2004-08-01,16.14201
2004-09-01,16.68575
2004-10-01,17.63673
2004-11-01,18.86933
2005-01-01,20.77872
2005-01-01,12.15455
2005-03-01,13.40239
2005-04-01,14.45924
2005-05-01,14.7951
2005-06-01,15.70525
2005-07-01,15.82955
2005-08-01,17.5547
2005-09-01,18.10086
2005-10-01,17.49667
2005-11-01,19.34727
2005-12-01,20.03129
2006-01-01,23.48669
2006-01-01,12.53699
2006-03-01,15.46702
2006-04-01,14.23354
2006-05-01,17.78306
2006-06-01,16.2916
2006-07-01,16.98028
2006-08-01,18.61219
2006-09-01,16.62334
2006-10-01,21.43024
2006-11-01,23.57552
2006-12-01,23.33421
2007-01-01,28.03838
2007-01-01,16.76387
2007-03-01,19.79275
2007-04-01,16.42731
2007-05-01,21.00074
2007-06-01,20.681
2007-07-01,21.83489
2007-08-01,23.9302
2007-09-01,22.93036
2007-10-01,23.26334
2007-11-01,25.25003
2007-12-01,25.80609
2008-01-01,29.66536
2008-01-01,21.65429
2008-03-01,18.26495
2008-04-01,23.10768
2008-05-01,22.91251
2008-06-01,19.43174
