,X,time,value,
1,1,1991.500,3.52659,
2,2,1991.583,3.18089,
3,3,1991.667,3.25222,
4,4,1991.750,3.61100,
5,5,1991.833,3.56587,
6,6,1991.917,4.30637,
7,7,1992.000,5.08834,
8,8,1992.083,2.81452,
9,9,1992.167,2.98581,
10,10,1992.250,3.20478,
11,11,1992.333,3.12758,
12,12,1992.417,3.27052,
13,13,1992.500,3.73785,
14,14,1992.583,3.55878,
15,15,1992.667,3.77720,
16,16,1992.750,3.92449,
17,17,1992.833,4.38653,
18,18,1992.917,5.81055,
19,19,1993.000,6.19207,
20,20,1993.083,3.45086,
21,21,1993.167,3.77231,
22,22,1993.250,3.73430,
23,23,1993.333,3.90540,
24,24,1993.417,4.04969,
25,25,1993.500,4.31557,
26,26,1993.583,4.56218,
27,27,1993.667,4.60866,
28,28,1993.750,4.66785,
29,29,1993.833,5.09384,
30,30,1993.917,7.17996,
31,31,1994.000,6.73147,
32,32,1994.083,3.84128,
33,33,1994.167,4.39408,
34,34,1994.250,4.07534,
35,35,1994.333,4.54064,
36,36,1994.417,4.64562,
37,37,1994.500,4.75261,
38,38,1994.583,5.35060,
39,39,1994.667,5.20445,
40,40,1994.750,5.30165,
41,41,1994.833,5.77374,
42,42,1994.917,6.20459,
43,43,1995.000,6.74948,
44,44,1995.083,4.21607,
45,45,1995.167,4.94935,
46,46,1995.250,4.82304,
47,47,1995.333,5.19475,
48,48,1995.417,5.17079,
49,49,1995.500,5.25674,
50,50,1995.583,5.85528,
51,51,1995.667,5.49073,
52,52,1995.750,6.11529,
53,53,1995.833,6.08847,
54,54,1995.917,7.41660,
55,55,1996.000,8.32945,
56,56,1996.083,5.06980,
57,57,1996.167,5.26256,
58,58,1996.250,5.59713,
59,59,1996.333,6.11030,
60,60,1996.417,5.68916,
61,61,1996.500,6.48685,
62,62,1996.583,6.30057,
63,63,1996.667,6.46748,
64,64,1996.750,6.82863,
65,65,1996.833,6.64908,
66,66,1996.917,8.60694,
67,67,1997.000,8.52447,
68,68,1997.083,5.27792,
69,69,1997.167,5.71430,
70,70,1997.250,6.21453,
71,71,1997.333,6.41193,
72,72,1997.417,6.66772,
73,73,1997.500,7.05083,
74,74,1997.583,6.70492,
75,75,1997.667,7.25099,
76,76,1997.750,7.81973,
77,77,1997.833,7.39810,
78,78,1997.917,10.09623,
79,79,1998.000,8.79851,
80,80,1998.083,5.91826,
81,81,1998.167,6.53449,
82,82,1998.250,6.67574,
83,83,1998.333,7.06420,
84,84,1998.417,7.38338,
85,85,1998.500,7.81350,
86,86,1998.583,7.43189,
87,87,1998.667,8.27512,
88,88,1998.750,8.26044,
89,89,1998.833,8.59616,
90,90,1998.917,10.55894,
91,91,1999.000,10.39142,
92,92,1999.083,6.42153,
93,93,1999.167,8.06262,
94,94,1999.250,7.29774,
95,95,1999.333,7.93692,
96,96,1999.417,8.16532,
97,97,1999.500,8.71742,
98,98,1999.583,9.07096,
99,99,1999.667,9.17711,
100,100,1999.750,9.25189,
101,101,1999.833,9.93314,
